⚛️  央视,#genre#
CCTV-16 奥林匹克,http://39.135.138.60:18890/TVOD/88888910/224/3221226230/index.m3u8
CCTV-16 奥林匹克,http://39.134.116.30:8080/PLTV/88888888/224/3221226230/index.m3u8
CCTV-16 奥林匹克,http://39.135.138.59:18890/PLTV/88888888/224/3221226233/index.m3u8
CCTV-17 农业农村,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17 农业农村,http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8
CCTV-17 农业农村,http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8
CCTV-17 农业农村,http://125.210.152.19:9090/live/hzgq-cctv17gq-h264.m3u8
CETV-1,http://117.148.179.149/PLTV/88888888/224/3221231552/index.m3u8
CETV-1,http://39.134.66.66/PLTV/88888888/224/3221225563/index.m3u8
CETV-1,http://111.63.117.13:6060/030000001000/G_CETV-1/G_CETV-1.m3u8
CETV-2,http://117.148.179.162/PLTV/88888888/224/3221231607/index.m3u8
CETV-2,http://111.63.117.13:6060/030000001000/G_CETV-2/G_CETV-2.m3u8
CETV-3,http://117.148.179.136/PLTV/88888888/224/3221231543/index.m3u8
CETV-4,http://117.148.179.155/PLTV/88888888/224/3221231613/index.m3u8
CETV-4,http://111.63.117.13:6060/030000001000/G_CETV-4/G_CETV-4.m3u8
CGTN-英语,http://117.148.179.174/PLTV/88888888/224/3221231592/index.m3u8
CGTN-法语,http://117.148.179.156/PLTV/88888888/224/3221231550/index.m3u8
CGTN-纪录,http://117.148.179.144/PLTV/88888888/224/3221231492/index.m3u8
CGTN-纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8
CCTV-央视文化精品,http://117.148.179.147/PLTV/88888888/224/3221231561/index.m3u8
新华英语,http://39.135.138.58:18890/PLTV/88888888/224/3221225693/index.m3u8
CHC家庭影院,http://117.148.179.151/PLTV/88888888/224/3221231799/index.m3u8
CHC家庭影院,http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8
CHC动作电影,http://117.148.179.138/PLTV/88888888/224/3221231580/index.m3u8
CHC动作电影,http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8
CCTV-1 综合,http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://39.134.65.179/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://39.134.65.181/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1 综合,http://117.148.179.155/PLTV/88888888/224/3221231468/1.m3u8
CCTV-2 财经,http://117.148.179.147/PLTV/88888888/224/3221231678/1.m3u8
CCTV-3 综艺,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV-3 综艺,http://39.134.66.46/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3 综艺,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3 综艺,http://39.134.65.179/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3 综艺,http://39.134.65.181/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3 综艺,http://39.134.65.173/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3 综艺,http://39.134.65.183/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3 综艺,http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3 综艺,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4 欧洲,http://117.148.179.162/PLTV/88888888/224/3221231615/1.m3u8
CCTV-5 体育,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV-5 体育,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5 体育,http://39.134.65.179/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5 体育,http://39.134.65.181/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5 体育,http://39.134.65.173/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5 体育,http://39.134.66.2/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+ 体育赛事,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV-5+ 体育赛事,http://39.134.65.181/PLTV/88888888/224/3221225507/index.m3u8
CCTV-5+ 体育赛事,http://39.134.65.173/PLTV/88888888/224/3221225507/index.m3u8
CCTV-5+ 体育赛事,http://39.134.65.183/PLTV/88888888/224/3221225507/index.m3u8
CCTV-5+ 体育赛事,http://39.134.65.175/PLTV/88888888/224/3221225507/index.m3u8
CCTV-5+ 体育赛事,http://117.148.179.136/PLTV/88888888/224/3221231459/1.m3u8
CCTV-6 电影,http://117.148.179.153/PLTV/88888888/224/3221231724/1.m3u8
CCTV-6 电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8
CCTV-6 电影,http://39.134.65.181/PLTV/88888888/224/3221225814/index.m3u8
CCTV-6 电影,http://39.134.65.173/PLTV/88888888/224/3221225814/index.m3u8
CCTV-6 电影,http://39.134.65.183/PLTV/88888888/224/3221225814/index.m3u8
CCTV-6 电影,http://39.134.65.175/PLTV/88888888/224/3221225814/index.m3u8
CCTV-6 电影,http://39.134.65.177/PLTV/88888888/224/3221225814/index.m3u8
CCTV-6 电影,http://39.134.66.2/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7 国防军事,http://39.134.65.179/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7 国防军事,http://39.134.65.164/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7 国防军事,http://39.134.65.181/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7 国防军事,http://39.134.65.173/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7 国防军事,http://39.134.65.183/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7 国防军事,http://39.134.66.2/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8 电视剧,http://39.134.65.181/PLTV/88888888/224/3221225795/index.m3u8
CCTV-8 电视剧,http://39.134.65.173/PLTV/88888888/224/3221225795/index.m3u8
CCTV-8 电视剧,http://39.134.65.183/PLTV/88888888/224/3221225795/index.m3u8
CCTV-8 电视剧,http://39.134.65.175/PLTV/88888888/224/3221225795/index.m3u8
CCTV-8 电视剧,http://39.134.65.177/PLTV/88888888/224/3221225795/index.m3u8
CCTV-9 纪录,http://39.134.66.46/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9 纪录,http://39.134.65.179/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9 纪录,http://39.134.65.181/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9 纪录,http://39.134.65.166/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9 纪录,http://39.134.65.183/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9 纪录,http://39.134.65.173/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9 纪录,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV-9 纪录,http://117.148.179.162/PLTV/88888888/224/3221231697/1.m3u8
CCTV-10 科教,http://117.148.179.164/PLTV/88888888/224/3221232492/1.m3u8
CCTV-10 科教,http://117.148.179.175/PLTV/88888888/224/3221231666/1.m3u8
CCTV-10 科教,http://39.134.65.179/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10 科教,http://39.134.65.164/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10 科教,http://39.134.65.166/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10 科教,http://39.134.65.181/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10 科教,http://39.134.65.183/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11 戏曲,http://117.148.179.164/PLTV/88888888/224/3221231711/1.m3u8
CCTV-12 社会与法,http://117.148.179.150/PLTV/88888888/224/3221231660/1.m3u8
CCTV-12 社会与法,http://39.134.65.179/PLTV/88888888/224/3221225669/index.m3u8
CCTV-12 社会与法,http://39.134.65.164/PLTV/88888888/224/3221225669/index.m3u8
CCTV-12 社会与法,http://39.134.65.181/PLTV/88888888/224/3221225669/index.m3u8
CCTV-12 社会与法,http://39.134.65.173/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13 新闻,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13 新闻,http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8
CCTV-14 少儿,http://39.134.65.179/PLTV/88888888/224/3221225674/index.m3u8
CCTV-14 少儿,http://39.134.65.164/PLTV/88888888/224/3221225674/index.m3u8
CCTV-14 少儿,http://39.134.65.181/PLTV/88888888/224/3221225674/index.m3u8
CCTV-14 少儿,http://39.134.65.183/PLTV/88888888/224/3221225674/index.m3u8
CCTV-14 少儿,http://39.134.65.173/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15 音乐,http://117.148.179.169/PLTV/88888888/224/3221231693/1.m3u8
CCTV-16 奥林匹克,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV-17 农业农村,http://39.134.66.46/PLTV/88888888/224/3221225708/index.m3u8
CCTV-17 农业农村,http://39.134.65.183/PLTV/88888888/224/3221225708/index.m3u8
CCTV-17 农业农村,http://117.148.179.167/PLTV/88888888/224/3221231772/1.m3u8 
